content,topic
45个《》，我已经在坚持了89天。,
不知道为什么最近还涨粉了。这几天发了很多微博，讲了很多废话。是时候要克制自己。今天早上梦见自己有个十分有安全感的男朋友，外表就是江直树，性格就比直树温暖许多。真的不想醒来。一切都很完美，除了最后他把我丢在了一个山旮旯的地方，让我自己跑步回去上课？？？（我却原谅他了？？？为了这个美梦，我在和学拓约的饭局上迟到了，很愧疚（最近就没试过什么事情可以准时的）。大家还是没变呢。还是搞笑且好玩。下午自己一个人去看《海王》，爱上打戏流畅的妮可。没想到还为灯塔守护人和女王的爱情故事掉了眼泪。简而言之，又是逃避思考方向的一天。,
//@球球-老师:复试闯关必备→ 【转发本博抽1人来个88.88好运爆棚红包】快来哦！,
//@孔玮Vicky:复试涉及的内容非常多，作为研究生复试考官的我会在复试课上全面系统又重点突出地教你，如何把握复试全局，如何赢得老师青睐，如何打好最后一战！【转发本条抽1盒ysl圣罗兰恒久羽毛气垫粉底】,
啦啦啦//@球球-老师:复试闯关必备→ 【转发本博抽1人来个88.88好运爆棚红包】快来哦！,
希望我可以重新获得我时的自制力🙃早睡早起,
45个《》，我已经在坚持了26天。,
112个《核心》，我已经在坚持了60天。,
98个《核心》，我已经在坚持了225天。,
新年想来点不一样的，top10：1.我想2.我想考上公务员3.我想去考驾照4.健身，打满卡100天5.学英式英语口语，每日打卡6.看一场林俊杰的演唱会7.学3种舞蹈：韩舞，肚皮舞，拉丁舞，并学会3支舞。8.读20本书9.涨工资10.开眼界,
132个《》，我已经在坚持了19天。,
今天是我正式准备的第三天，加油(ง•̀_•́),
开心，有些知识点，我知道很多人都容易搞混，本来应该在旁边注释一下，还有到底如何背，整个过程的学习计划，都应该写在笔记前面，但是也是出于一点私心吧，不想那些复印我资料的人也看见，所以我宁愿你们一遍又一遍的问我，我一个个回复，我也没写在笔记上。#公大##同行者#,"公大,同行者"
157个《》，我已经在坚持了41天。,
86个《》，我已经在坚持了30天。,
89个《》，我已经在坚持了44天。,
一笑而过数学周洋鑫打卡Day61最近落下了好几节课要赶紧补课了,
今天学习了长难句，通过这段时间的复习，发现长难句渐渐的也慢慢好起来了，外教结构还在熟悉，继续加油，还有教原和教心两本书需要啃#司南Day1,
#翻硕热词##热词背诵##mti##mti初试#Day5今天的词条有点好背，真的太喜欢了，继续加油@水清木华翻硕,"翻硕热词,热词背诵,mti,mti初试"
顺利工作顺利教资顺利初会顺利,
思维导图《宪法学》编写组编著，《宪法学》（第二版）（马克思主义理论研究和建设工程重点教材），高等教育出版社2020年版资源汇上海对外经贸大学#上海对外经贸大学#法学#法学学硕#,"上海对外经贸大学,法学学硕"
法硕day3学习了民法代理的分类有权代理无权代理#法硕##文运法硕#,"法硕,文运法硕"
谭剑波英语全程陪伴@谭剑波tangible打卡第68天,
今天算是上完本科阶段最后的专业课（下学期只有拓展选修和课程设计）这学期非常感谢认识两位老师：先进制造学院的程老师和李老师，程老师教授环境微生物学李老师教授环境监测。我在课间时常问程老师专业课上的问题，程老师都会认真回答我，在下次课还会告诉我需要补充的知识点，这点让我真的很感动——我一个独立学院的学生何德何能让211主任惦记着🥲李老师则是一位爆炸智慧爆炸美丽的老师年轻有为且很会给大家喝鸡汤给我树立了很多优秀的精神榜样（非常牛逼的榜样）如果我在本部的话可能很难遇到这样的良师两位老师给我带来的影响我终生受用所以再次感谢,
22个《》，我已经在坚持了27天。,
#倒计时#今天是倒计时的第332天突然就莫名开心是怎么回事@宇哥求解,倒计时
22个《》，我已经在坚持了28天。,
221个《》，我已经在坚持了47天。,
##Day172.真题语料库第二遍听写c3t1&2两集老友记小钱钱和Mon终于公开惹！每到放假就是眼高手低一早上起来斗志满满想着要干些啥结果一天下来就是傻瘫着现在有一个心愿就是提高英语买来冰与火之歌的原著看看🤓,
29个《》，我已经在坚持了99天。,
转来转去还是发现锦鲤杨超越最灵有什么愿望尽管许下吧！🙏🙏🙏,
后天面试过过过🙏🙏🙏//@全会好运:会的//@给你两斤瘦肉精:成功上岸！//@锦鲤大王爷:保佑🙏//@白鸽andnana:明天考试🙏超越妹妹保佑[米奇比心],
祝你生日快乐一定会有一个好的结果,
112个《》，我已经在坚持了72天。,
135个《》，我已经在坚持了2天。##,","
“旺仔精神。”O“旺仔精神。”,
整个过程中最喜欢的老师没有之一虽然我不喝旺仔可我也是旺仔girl,
50个《》，我已经在坚持了133天。,
#胖鱼成长记##有道考神四六级#有道考神曲根万词班早上听力吃透的时候就想打卡了@建昆老师但是想着今天还有那么多课没上数学@有道考神金峰老师万词@有道考神曲根@有道考神贾琨老师教资生活大爆炸@有道考神老师腾飞就忍忍吧！可是到了晚上全是课真的很容易忘,"胖鱼成长记,有道考神四六级"
今天是我正式准备的第十二天，继续加油啊,
67个《核心》，我已经在坚持了9天。,
#芝加哥音乐剧#昨天看了绝代艳后今天看的时候满脑子都是Bravo这个词演员小姐姐身材都超棒狱中探戈简直视觉高潮指挥小哥全场最骚没有之一动不动就热舞一番刚开始看的时候没注意到两侧字幕差点以为自己要做两小时听力…然而后来坐在中间的我在切换字幕和舞台之间差点瞎了眼睛仿佛开了MF模式不断失焦一边羡慕小姐姐们的魔鬼身材一边在酒店暴饮暴食@信女刘艳芳,芝加哥音乐剧
我要！！！,
#2020##教师资格证#🔔Day50📀李雨-苍耳,"2020,教师资格证"
22个《》，我已经在坚持了19天。,
寒假也不能忘记学习哦英语四六级教师资格证笔试20202019初级会计注册会计师2019中级会计一级建造师二级建造师cfa一级cfa二级cma考试ACCA消防工程师2019省考国考复试管理类联考资产评估师注册税务师利用好时间，加油,
月计划习惯每天学习至少3小时至月底进度必须是一天一单元⭕️特别注意在句子之中的使用情况熟悉语法坚持背诵对于流程时间安排必须熟悉经验帖重点思考学校问题教育学书籍看多看看书,
你若真见过那些强者打拼的样子，就一定会明白，那些人之所以能达到别人到不了的高度，全是因为他们吃过许多别人吃不了的苦。这世上从来就没有横空出世的运气，只有不为人知的努力。励志语录人加油#励志语录#,励志语录
你开始准备了嘛？2020网课2020数学英语政治2020汤家凤数学张宇数学2019初会网课2019初级会计2019cpa网课2019注会司考法考LYummy-鹿不羁的微博视频,
12个《》，我已经在坚持了19天。,
心烦，还是比较怀念期间那种忙碌的日子，想念那种没有时间去考虑各种琐事的生活,
在我妈嘴里，女孩子当老师/公务员一定是最正确的选择,
//@有猫了不起:不孝有三不考教资不考公务员不,
舍友去北京听课了，我有北京的一卡通，但是没借给他们，不知道为什么，可能，就是觉得，不想借吧，没有其他关系了吧，大概吧,
#一笑而过#Day4、流感为啥这么严重，一直好不了本来想着今天可以背完两个list，没想到才把list4背完，一天全都睡过去了，什么也没干，查了新传报录比1:16怂的一逼，我该怎么办,一笑而过
2020求问：会计专硕需要报班学习吗🙏🙏🙏,
40个《》，我已经在坚持了2天。##,","
20个《》，我已经在坚持了1天。##,","
些许恐怖一定得搬出去住啊,
倒霉起来喝开水都塞牙的话我一定榜上有名13年如果考上了可以直接留校，最后英语差3分考证，不知道经历了多少次59分，数不清了，60分及格平均分90分以上可以晋级，我89.87分哈哈哈，心疼我自己,
@新传小小班,
67个《》，我已经在坚持了9天。,
56个《》，我已经在坚持了22天。,
187个《》，我已经在坚持了21天。,
67个《》，我已经在坚持了279天。,
#2020一笑而过#2019.1.16day16听了刑法深蹲50个晨读一小时,2020一笑而过
放假之后第一次正式的出门对正式出门最起码的尊重就是刘海整整齐齐之前跟他们因为各种忙疏于联系了就晶晶还常常插科打诨几句今天徒弟来给我送电脑一起在操场上溜达好像又回到了以前无话不谈的日子他说他的辛苦说他对未来的规划我说我的顾虑说我的忐忑哈哈哈然后约着一起减肥减肥！寒假到今天也过了一周了妈妈明天就放假咯～周五到周日培训明天准备一下培训前需要的看一下视频课要努力追赶神仙同学们的脚步鸭,
studyaccountstudywithme▪️打卡▪️距离还有339天▪️明天最后一天！但是考完试就要练车了我宁愿考试呜呜呜,
想想我的时候还每天晚上十二点睡早上四五点自然醒╮（╯＿╰）╭然鹅，现在……,
我在#2018我的小世界#喜提逢考必过，2019年，你将逢考必过。、高考、四六级，统统被你踩脚底。参与#2018我的小世界#话题词分享，有机会赢iPhoneXS、applewatch还有便携打印机等新年礼物哦！赶快开启我的小世界吧,2018我的小世界
44个《核心》，我已经在坚持了36天。,
一直想存钱买一部iPad方便看网课,
67个《》，我已经在坚持了232天。,
100个《》，我已经在坚持了277天。,
125个《》，我已经在坚持了90天。,
法硕【】Day1开始宪法咯，开始24年的学习咯，今年一定要有一个好结果，先从宪法绪论开始@文运法硕培训@法硕李彬,
24颉斌斌英语全程###2024##英语#,",2024,英语"
马上618咧以我的二战经验来看，以下书单可以参考一下政治：核心考案（打基础）优题库（巩固）徐涛背诵笔记（大题思路以及答题内容）徐涛6套卷（考前冲刺）徐涛20题（押题）英语：田静句句真言必备！打好语法基础。英语真题实战（刷题）锐读外刊（了解出题源）颉斌斌三小门（新题型）数学：张宇全家桶！还有最好的好物就是就是一只陪你复习的猫猫！#二战##我的######徐涛政治#,"二战 ,我的, ,,徐涛政治"
//@别致之谜:嚯~宝们请注意，谜谜的好朋友@巨微真题搞的这波大动作#守护真相#敲厉害，俺也来一波~@别致之谜@巨微真题卷发微博，6.20日揪1位准研究生带走【《真相真题解析篇四本套》】,守护真相
变e为i你欠我的用什么还,
浙江师范大学有偿求924环境工程原理历年真题＋答案,
法硕【】Day22法理打卡第2天，今天听到了法的本质和特征，能够稍微理解一点了，加油@法学理论杜洪波@华图法硕,
2020英语六级阅读听力200+but作文真的是.....渣的一言难尽找准自己的短板不要学别人考前俩月背模板！踏踏实实的背诵积累才是王道[Aloha]（给装b的自己一个安慰吧hhhhh）今天同时听了宇哥的1920基础班觉着宇哥没有19年那么中气十足有意思了嗫你们发现了没？....所以决定还是看19年视频好了另放弃36讲等到强化再看,
@Super简小妞@讯扬讯扬@KK英语大爆炸futureday271.今天一天在路上，路上完成的思维导图总结。2.整理了自己内心对于生活的一些想法。3.设定了目标。,
#亲戚尬吹的样子#今天下班健身，玩了一个来小时看台球案空的就准备去打会台球，我和朋友一起去的，拿出杆子来准备打一会这个时候拱出来一老头，出于礼貌就陪他打一局。刚开完球他就开始了，“你是还在上学？”“嗯，快毕业了”。“哪儿的学校？”“烟台的”“烟台还有好学校？”我还没说下一句话，这老头马上来了一句我儿子海大的，我礼貌性的说海大的很厉害啊，这老头屁股马上一撅：“你们学校有保研的么”，我摇摇头，当时没脑子问了一句你儿子保研啦又蹦起来了：“我儿子那不太简单了，当然保研了”，然后又bb叨我没搭理耐着性子陪他打，有一个中袋球我没打进，这b说我理科肯定不好，这局我手冷输他一个球，第二局这老头输我俩球。我赶紧换地方打，怕忍不住球杆抡他身上，啧，别人说我脾气好是有原因的。,亲戚尬吹的样子
过去一年内因为说唱，追现场看的还算幸福，也见证了喜欢的rapper第一场演唱会等。对于小丞，之前一直处于路人粉的我错过了一整年，2019年才真正喜欢上，希望自己在之前有能力的情况下看一眼他。,
寒假打卡Day5💜study：30min1⃣️看完了数学第二个视频的尾巴2⃣️看了几面初会实务明明自己不想学习还怕输在起跑线上真是活该🧡exercise：10min抬了抬多年没运动的腿励志要减肥重新打开了keep打算明天开始减肥～今天和老朱头生气来着是我不对emmm…就是想粘着他怕他不开心不理我了还不和我出去玩哭唧唧然后睡觉前说开了以后要和老朱头作息时间一样一块好好学习了向大佬们看齐💖今天唯一的图就是集齐了五福💙晚安咯💤明天估计一定会学习等着老朱头明儿早八点叫我起床,
不易🙏//@新东方王江涛:O1月29日，22点前，转发本微博并关注@刘文涛老师和@新东方王江涛，5位孩纸获赠《十天搞定》（默写本）！@微博抽奖平台开奖。,
倒计331我……本来是躺下睡觉的了好像想起来打卡的事情就又起来因为好累呀今天晚安👌,
67个《》，我已经在坚持了39天。,
华研英语完形填空100篇2019年￥22.9领券拍：微博专享限时领券省钱白菜优惠券：内部优惠券神器,
晚安周四，晚安小锦鲤们。愿望交给锦鲤们，你只管努力就行，握鳍。**。Ｏ。ｏ〇。〇Ｏｏ。*Ｏｏ。*。*Ｏｏ。*。*Ｏｏ。**Ｏｏ。*。*Ｏ。〇Ｏｏ。*Ｏｏ。*。*Ｏｏ。*。*Ｏｏ。**Ｏｏ。*,
保佑我上岸！,
这是一条寻找#万能锦鲤#的微博，2019年去掉颓废、佛系这些标签，去强化技能、去学外语、去旅行、去连接未知的美好，燃翻正能量@让红包飞关注@WiFi万能钥匙分享你的Flag，1月28日抽20位【每人送10000元】你会是那个正能量的#万能锦鲤#吗？@微博抽奖平台,万能锦鲤
2019成功!,
66个《》，我已经在坚持了134天。,
,
今天在北京讲课，有感而发，说了一段，给2020的启示。2019慎看或者不要点开看，因为这视频里有出现2019阅卷的标准答案和评分，我还没想发出来，过了年再说。L宇哥的微博视频,
虽然已经读研二了，但是看到宇哥的视频还是会点进去看一看。,
67个《》，我已经在坚持了283天。,
晚安周日，晚安小锦鲤们。愿望交给锦鲤们，你只管努力就行，握鳍。**。Ｏ。ｏ〇。〇Ｏｏ。*Ｏｏ。*。*Ｏｏ。*。*Ｏｏ。**Ｏｏ。*。*Ｏ。,
成功#成功考上研究生#🙏🙏🙏,成功考上研究生
天天师兄生理绪论，师兄请指教@天天师兄320,
110个《核心》，我已经在坚持了49天。,
studyaccountDay5⃣️0⃣️今天是打卡集合的一天⭐️恋练有词⭐️扇贝⭐️书,
我居然觉得涛涛比片寄凉太帅@政治徐涛,
##第一次听考虫小宝宝老师的课程，上课铃声真的好听让人瞬间精神抖擞（我妈甚至怀疑我是否真的在学习）讲完就练习的上课方式感觉很适合我！第一次打卡希望被翻牌w@石雷鹏老师@考虫萌酱,
112个《》，我已经在坚持了35天。,
写论文极有可能变成除了高考和以外第三件让我头秃的事🤓黑芝麻养发精油安排起来毕业真难😷,
今天终于读完了《白先勇细说红楼梦》，其实阅读体验没有预期好吧，还是更喜欢他的小说明天开始读从西西弗买到的《哲学家与狼》or《从卢梭到尼采：耶鲁大学公选课》，希望能有惊喜然后深夜终于入手了期待已久的三本书，贼满足做书摘快一年了，最初想要的效果早已达成新的要求虽早已了然于心，但结束后还是很懈怠啊所以醒醒吧，不想当废物请麻溜地滚出苏轼圈,
76个《》，我已经在坚持了51天。@泺邑小巫女,
张九南全方位留下证据我是被爷们翻过牌子的lnm要了我只能待在哈尔滨了但我保证你来一次我一定去看你一次并且再也不撅你了我为我今天说买一送一不要你的行为道歉这个腊月十四过的心满意足感谢各位小姐姐的祝福啾咪,
230个《》，我已经在坚持了502天。@咕噜咕噜jiao,
2020studyaccount#Kelly雯的日记#倒计时⏳336Day2打卡中国古代教育史笔记整理✅的秘密unit8✅天天背打卡✅知识清单背诵✅把中国古代教育史笔记都整理完啦好开心！然而留给英语的时间就少了好多2333教训：明天一起床就开始背不然拖到晚上还想看教育学,Kelly雯的日记
不管遇到多么大的烦恼，永远不要消沉，要放弃欲望和埋怨，但不要放弃希望，因为埋怨会让人失去智慧。记住了，成功总是留给那些有积极心态和头脑清醒的人。,
我想的是如果我坚持下来了年末就和你一起跨年陪你过生日可是我也怕我到时候就...你来的太突然了也不是横冲直撞就是你的出现让白敬亭完全的离了我的世界现在心里你最重要但感觉还不是一开始的那么激动我也怕我不敢说一辈子的我不知道这条路会走多远可是你怎么这么好这么坚定宝贝我希望你遇到的所有人都是善良爱你的人遇到的所有事也都是简单纯粹的事你这一辈子一定要幸福一定一定,
86个《》，我已经在坚持了59天。,
结束以后第一次微信更文，手机排版排了好久，可是最后还是感觉不太美观,
今年就指望她了[米奇比心]【搞笑】,
祝我顺顺利利开开心心的通过🤔🤗🤭😬✌️,
104个《》，我已经在坚持了62天。,
2018年硕士研招大数据第9期：各学院录取男女比例2018@2020西南大学@2020西南大学研究生西南大学研究生招生办公室推出的2018年硕士研招大数据系列共九期。内容包括按学院统计报录比、按专业统计报录比、录取人数、录取考生初试平均分、男女比例。往期内容加进入微信：kaoyan222#越努力越优秀#欢迎关注西南大学微信，了解更多资讯！,越努力越优秀
升级可能英语还是够用的！,
11.23，在复习如火如荼的日子里，我躺在床上看综艺，想想就觉得爽粉红女郎看了，都怪腾讯没有武林外传,
#倒计时#今天是倒计时的第343天啥都不想说了@宇哥求点赞,倒计时
2020DAY16√的秘密STAGE16√根据艾宾浩斯遗忘曲线复习STAGE15&STAGE14&STAGE12&STAGE9√天天背小程序,
200个《核心》，我已经在坚持了1154天。,
45个《》，我已经在坚持了23天。,
62个《》，我已经在坚持了52天。,
56个《》，我已经在坚持了87天。,
明天要背啦加油💪🏻#要变的越来越好啊#,要变的越来越好啊
Day20🙊最近我这个喉咙啊不是我的了干的嘞，今天还忘拿茶杯，真的要干死🙎小学生最后一周就要放假了，放完假在家我可能会被烦死🚞最近在打算年后要不要去趟上海，魔都啊，我怡也一直说让我找她，我心心念念的魔都啊，一直想去但没机会，也没有合适的时间，所以就想着要不要今年年后去一次，而且开学就要直面了，没有理由回避了，也要更加努力了。不过要去的话要赶紧抢票了，年后去肯定超多人！安排一下✔外刊:阿满、时光✔Dictationx1✔三笔:公众号每日一练💙任务做的太少了吧！！！明早让👩叫我，一会不玩手机了，直接睡了💛明天教资报名了，我滴money啊，可能只有报名之后才有动力学吧，毕竟钱💰呐studyaccount,
66个《》，我已经在坚持了56天。,
#新浪看点#大专生可以直接吗？O大专生可以直接吗？,新浪看点
👉🏻迟来的想为2019年订个计划✍🏻1️⃣学会化妆做一个精致的女孩👧2️⃣好好学习努力为做准备四川在等我💪3️⃣努力练钢琴至少学会一首茶蛋的歌曲♥️4️⃣努力学吉他至少要会弹几首流畅的曲子⭐️5️⃣去自己想去的地方旅行至少一个🔆6️⃣多读一些书籍去充实自己📖7️⃣争取能看一场茶蛋的演唱会🤗8️⃣计算机二级和英语四级一定要过💯9️⃣好好学习韩语和英语🔥🤜🏻2019年呀一定要成为更好的自己🤛🏻,
35个《》，我已经在坚持了136天。,
收拾行李收拾了三天终于收拾好了明天火车上的东西也安排上了希望最后一科考试好好的🙏,
好不了了满脑袋都是院长的9个不及格那一科要怎么补考啊院长我以后肯定多读shu我争取你放过我吧,
总是会有很多小惊喜出现祝你们顺利,
河南工业大学有856电路的专业课真题嘛求,
打卡71天@凯程小宇老师外教史：19至20世纪上新教育运动教原：课程实施、评价,
《法理学》编写组编著，《法理学》（第二版）（马克思主义理论研究和建设工程重点教材），人民出版社高等教育出版社2020年版出思维导图上海对外经贸大学资源汇#上海对外经贸大学#上海对外经贸大学法学,上海对外经贸大学
1994~2023政治历年真题###政治##24#,",政治,24"
#2023##扇贝#我在扇贝学习英语，坚持学习，未来可期,"2023,扇贝"
法硕【】复盘打卡DAY3,
日语大家晚好请问下图中哪个更符合“バス”这个词?#新标日##每日选择题##知识分享大会##一起做个题##决战#请从下列选项中选取最正确的。,"新标日,每日选择题,知识分享大会,一起做个题,决战"
@谭剑波tangible谭剑波英语全程陪伴##打卡第65句啦,
英语朱伟【英语朱伟】Day28,
到了现在才有意识：今天是六一也是六月了去年这时候好像也去听了毕业歌会然后的事情找各种理由一拖再拖今年跟着班课走就安心了许多还是会缺课但是看着todolist就有计划地去清空这是我二战最大的收获吧别拖拖真的会一拖再拖#二战##四六级##四六级一笑而过#,"二战,四六级,四六级一笑而过"
2020距󾠰️󾠯️󾠴️天平凡的一天看到以前最好的朋友在网易云上写的东西内心特别揪心不联系不是因为不在乎而是担心现在的我会让她失望毕竟我自己都不喜欢自己,
有道考神#胖鱼成长记#每日打卡@有道考神Air姐姐小羽第四百二十五天～@有道考神韩苏老师@有道考神楠楠老师@有道考神金峰老师@有道考神陈曲@有道考神曲根@有道考神孙旭彤@王一珉@有道考神米鹏老师,胖鱼成长记
71个《》，我已经在坚持了81天。,
是比高考更需要自我负责的历练。压力太大了，别忘了为了什么出发。如何解决不安。休息了一段时间后，今天自学了一个多小时英语，看了看初级会计师2个小时就睡了。只有行动才能解决不安。一个人的孤单。还有五花八门的选择，怎么那么难啊。一步一步吧。强大内心的锻炼。愿我无悔。因为我奔跑了。厌学，自我调节，外界要求我的太多，自我调节。超级没有安全感的人，还是会选择无悔的路，只是为了不想要遗憾。,
D-328寒假学习D3昨晚睡眠出奇的好早上也自然醒再也不是被闹钟吵到头痛了耶和昨天一样的学习清单翻译法语词汇教资读书(今晚有在考虑明天要不要换计划)但是今天莫名看不下法语就跑去看翻译了..虽然翻译也是很烂...真的每次翻译的时候都要思考自己考mti是不是错误的决定唉距离教资二次上岸还有一个月但...还是原地踏步枯了今天开始背法语和日语啦要把我的三外和四外捡起来啦嘻嘻就算不能学语法啥的也要把背了！好啦晚安🌙明天继续加油,
#2019#2020#复试##成绩#博主菌为大家找到了一个可靠的【成绩排名查询系统】，由交大学生开发，入口在【梦马】公众号。可查询估分排名、真实成绩排名及各科成绩分析。希望大家多多扩散，每多一个数据，就能离真实排名走近一步。最后预祝大家都能取得满意的成绩！,"2019,复试,成绩"
100个《》，我已经在坚持了82天。,
南京师范大学教育学英语干货觉得有帮助的小伙伴记得点赞哦,
为什么凉音老师@凉音psy和我一直在强调《心理学大纲解析》里面的“凉音提醒”栏目很重要呢？就拿这样一个问题来说，普通心理学~吉尔福特智力的三维结构理论，产品（产物）里面那个是“应用”还是“蕴涵（蕴含）”呢？如图所示，图1为《心理学大纲解析》对三维结构理论的说明（来自18版、19版），图2为彭聃龄《普通心理学》第四版三维结构理论的内容，图3为彭聃龄《普通心理学》第五版三维结构理论的内容。从第四版普心教材到第五版普心教材这里的变化就说明了这个问题。另外，之前我总结的一个问题：在智力三维结构模型中，人的智力究竟是120种，150种，还是180种？今年新版上也会增加这个说明。,
//@凉音psy:是的，就是这样。有很多细节，有些同学发现不了，发现的，又比较纠结、不知所措。那么，请看《心理学大纲解析（凉音，今赞）》。,
华研英语完形填空100篇2019年￥22.9领券拍：【5元券】微博专享限时领券省钱白菜优惠券：内部优惠券神器,
67个《》，我已经在坚持了18天。,
学姐翻一下自己英语笔记给大家分享一下。###教育#L佐助3031的微博视频,",教育"
#就要语众不同#@沪江网校D10学习日语48个，教程重新梳理，天天练口语打卡。,就要语众不同
这个是高手，魔鬼中的高手,
66个《》，我已经在坚持了48天。,
,
东北师范大学2020有没有学前教育学的学长学姐求指导,
-70-脱发之友小可爱被中分海峡的峡谷吓哭了🙊正面看起来好好的不是😜😎早点睡觉哦今天的睡觉时间换了的凭我们俩的努力盖出来了一座泰姬陵哈哈哈哈哈哈哈哈哈哈哈哈哈之前就在盖了，她还学会放在后台运行了哦哟还是要按时睡觉哦不然峡谷变深了怎么办变成羽毛球不怪我哦盖房子上了闺蜜，3个人的车还是第一次上虽然7p也有过，还是觉得很激动螺狮粉超好吃，辣哭了但是好久都没吃了反正她给我买的我一般不吃的哈哈哈哈哈哈跟妈妈打电话透漏了点风声强烈的八卦气息晚上种了今年第一棵开花的树，要好好学习好好学习一起努力,
幂指函数求导怎么这么难，学渣跪了#数学三#,数学三
#高考##高考英语##英语学习##英语##四六级###无术英语·三天刷完高考救命词·大学小白词·胚胎词1.1救命词第一讲L很慢的君慢慢的微博视频,"高考,高考英语,英语学习,英语,四六级,"
焦虑噢，为什么我就没在大学几年勾搭上几个有经验的学长学姐，好烦哟,
发布了：《何谓研究生》一篇关于价值，研究生定义，划分的文章，希望考生对有更充分的了解。加油~人###2020##人##研究生#O何谓研究生,",2020,人,研究生"
##,
老师说我的实验报告好像是被打了回来，需要重写，让我去确定一下。确实是这样的，不过，我另一份实验报告写得还不错。暂且不论格式的问题，比如说做表格的时候没有使用三线表，标题的位置也不对等等，但是对于实验内容的分析还是到位的。于是老师因为一份实验报告就觉得我很有发展前景，不简直是糟蹋了人才。就这样，我们聊起了。我说，的发展前景似乎不是很大。她说，护士升职的要求是，本科以下的文凭需要熬十几年或是有突出贡献，本科需要几年，研究生一进医院就已经是护士以上的职位了。我那天的失落，或许很大一部分都是因为实验失败了。看到其他的小组拿到了好几份的血清检查数据，我心生了落差。老师过来了之后，我说，我们的实验失败了。她说，实验失败就失败了呗！没有关系的。哦对了，杨晓荷还说，要对自己狠一点儿，才能够离成功近一点儿。,
2020暑假有很多想要去的地方又想到你了怎么过去这个坎啊我觉得解决办法有两个一个是新的一年瘦下来一个是专四教资顺利最好两者可以兼得不行的话那我就守住后者即可那2020年的春节就是巅峰了如果那个时候我还在想那我就去你待过的地方走走看看总要有一次是我找你最后一个心愿,
112个《》，我已经在坚持了220天。,
发布了：《论备考心态的重要性》一篇关于心态调整的文章，希望每位考生能及时的调整自我，平常心去面对挫折，不消极不逃避，在这场旅行中追逐梦想，坚定勇敢的走完。###2020##心态#O论备考心态的重要性,",2020,心态"
##,
记录,
#新闻传播#Check一下，你是不是合格的新传学子？发布了：O新传学子必备公号，哪个你还没有关注？,新闻传播
我关注了超话，小伙伴们快来加入超话一起聊聊吧~戳这里→http://t.cn/z82jMCe,
距离2020336天#K的打卡日常#产品手绘像素还是一如既往的垃圾,K的打卡日常
100个《》，我已经在坚持了5天。##还是继续吧,","
明天要开始学习了！这条路要坚持下去！,
今天期末考试结束了，可是我有点开心不起来，想想连一个简单的期末考试我都考成这样，记东西模糊不清的，我还有什么能力去,
83个《》，我已经在坚持了25天。@Justin三哥,
OMG！全程班核包弹也太震撼！比大王的头都要大三倍！里面有哪些好东西快来一睹为快吧！##L周思成的微博视频,
##超值啊准备的小伙伴抓紧了@赤脚狂奔的滚滚啊,
33个《》，我已经在坚持了31天。,
盾盾老师教学真的太棒啦！17年的时候我在浏城桥....貌似5楼吧上帅帅的数学课（虽然没考上）.你就在隔壁教日语课.我就下定决心一定要去学、于是现在报上了网课.一边工作一边学习.经过几节课找到了学习方法.多重复！多读！多听！多写才是王道@唐盾,
值此猪年来临之际，我作为你们口中的大猪蹄子老师，理应送大家新年礼物，共计三波，今日第一波，一波接一波，不间断送礼，愿给大家猪年带来好运。转发本条微博+至少@一位研友，1月21日抽2位同学送华为iPad（支持国货）、抽5位同学送我的2020数学全程班：、抽20位同学送猪年零食大礼包，已报备@微博抽奖平台。【注：视频里是送给2020的精神食粮，非2020不用看了】L宇哥的微博视频,
@轻酌淡酒2020加油💪,
复试//@孔玮Vicky:复试涉及的内容非常多，作为研究生复试考官的我会在复试课上全面系统又重点突出地教你，如何把握复试全局，如何赢得老师青睐，如何打好最后一战！【转发本条抽1盒ysl圣罗兰恒久羽毛气垫粉底】,
448个《》，我已经在坚持了9天。,
我“爸要不我把研究生教材给你吧，我不考了”呜呜呜呜呜呜呜呜呜呜呜呜呜qtmd,
虎牙曹操我可是为了你们拼啦，完成了不可能完成的事情不要再叫我钻石小霸王了哦！有打的不好的地方还希望你们多多包涵@两个好友抽取10名幸运小伙伴评分1000元现金,
@猜猜我是谁71316@新东方在线,
还是先吧。自闭了还是先吧,
每次想到有关的事，总会有很多的疑惑？例如选学校选专业和地区等相关啊啊啊啊啊不想了还是先把期末考试考完再说吧！稳住我们能赢困死了睡觉睡觉,
连寝室走廊都有人在背书了，上一次听见图书馆楼道里的背书声还是的时候。,
【日照大学城多名网友举报曲师大图书馆书香地？】#日照爆料#今日，日照大学城多名网友联合举报@曲师大图书馆日照书香地存在诸多问题，例如卖过期食品，服务态度差，回收用过的餐具，回收吃不完的饺子再次去卖等问题，该校学生发起微博话题#今天书香地倒闭了吗#目前已经46万多曝光了，一千多名网友参与讨论，不知道事情的真情到底如何？希望学校或店家能尽快做出回应！给同学们一个满意的答复！,"日照爆料,今天书香地倒闭了吗"
//@摩羯小竹屋zpy:已经毕业一年的学姐必须来说一说，，态度恶劣令人发指就不说了，过期食品、食物不卫生都经历过，，后来期间半年时间宁愿饿死也不踏入他家半步，，，，终于见着他家的消息了，，有种大仇得报的感觉😄,
学长教你考专硕###MPAcc.MBA.MPA#效果看到了吧，赶紧写论文发出去吧，趁复试前。,",MPAcc.MBA.MPA"
